srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,click_bool,V1
2,4352,15,55,321,9735,98,7374,4,7,0,2.83,2249,4.13,105.47,1,13085,2,57,2,0,1,0,239532,596840,0,no,0.562
2,4352,15,55,321,9735,98,131173,4,10,0,1.61,257,4.97,124.64,0,13085,2,57,2,0,1,0,239532,596840,0,yes,0.53
2,4352,15,55,321,9735,98,37331,3,8,0,2.77,9408,3.99,68.71,1,13085,2,57,2,0,1,0,239532,596840,0,no,0.519
2,4352,15,55,321,9735,98,30434,4,7,0,1.79,445,4.97,95.88,0,13085,2,57,2,0,1,0,239532,596840,0,no,0.499
2,4352,15,55,321,9735,98,27090,4,1,0,2.56,9408,4.68,124.64,1,13085,2,57,2,0,1,0,239532,596840,0,no,0.474
2,4352,15,55,321,9735,98,25579,3,8,0,3,3594,4.19,59.12,0,13085,2,57,2,0,1,0,239532,596840,0,no,0.459
2,4352,15,55,321,9735,98,26540,3,7,0,2.83,3410,4.05,68.71,0,13085,2,57,2,0,1,0,239532,596840,0,no,0.451
2,4352,15,55,321,9735,98,91899,3,6,0,2.94,2155,4.28,68.71,0,13085,2,57,2,0,1,0,239532,596840,0,yes,0.442
2,4352,15,55,321,9735,98,7771,3,9,0,3.81,9408,3.54,51.13,0,13085,2,57,2,0,1,0,239532,596840,0,no,0.441
2,4352,15,55,321,9735,98,3105,3,4,0,3.09,923,4.28,164.59,0,13085,2,57,2,0,1,0,239532,596840,0,no,0.427
2,4352,15,55,321,9735,98,6399,3,1,0,3.09,3198,3.62,54.33,0,13085,2,57,2,0,1,0,239532,596840,0,no,0.39
2,4352,15,55,321,9735,98,12938,3,1,0,2.94,9408,3.88,33.56,0,13085,2,57,2,0,1,0,239532,596840,0,no,0.369
5,140870,9,59,321,9735,219,126665,4,9,0,3.93,98,5.88,359.07,1,4562,7,2,3,0,1,0,239532,596840,0,yes,0.587
5,140870,9,59,321,9735,219,18053,5,8,0,4.99,135,6.21,473.55,0,4562,7,2,3,0,1,0,239532,596840,0,yes,0.517
5,140870,9,59,321,9735,219,1230,3,7,0,5.83,2002,5.71,372.9,1,4562,7,2,3,0,1,0,239532,596840,0,yes,0.516
5,140870,9,59,321,9735,219,44923,5,9,0,5.78,1153,6.14,474.68,0,4562,7,2,3,0,1,0,239532,596840,0,yes,0.514
5,140870,9,59,321,9735,219,41347,4,8,0,4.11,28,6.04,504.28,0,4562,7,2,3,0,1,0,239532,596840,0,yes,0.499
7,25022,5,219,321,9735,72,115895,4,8,0,2.3,1437,4.85,85,0,6419,1,8,2,0,1,1,57971,120794,0,yes,0.518
7,25022,5,219,321,9735,72,19884,2,9,0,1.39,1313,4.01,48,0,6419,1,8,2,0,1,1,88492,120565,0,yes,0.483
7,25022,5,219,321,9735,72,50393,3,8,0,1.95,9408,5.14,77,0,6419,1,8,2,0,1,1,88371,120801,0,yes,0.46
7,25022,5,219,321,9735,72,33705,4,1,0,0,9408,5.18,80,0,6419,1,8,2,0,1,1,82868,119234,0,yes,0.438
7,25022,5,219,321,9735,72,136038,2,8,0,2.56,9408,3.35,17,0,6419,1,8,2,0,1,1,81921,120644,0,yes,0.429
7,25022,5,219,321,9735,72,62724,0,7,0,0,3954,4.61,61,0,6419,1,8,2,0,1,1,82974,120987,0,yes,0.412
7,25022,5,219,321,9735,72,137113,0,7,0,2.77,778,4.61,80,0,6419,1,8,2,0,1,1,58691,120700,0,yes,0.396
7,25022,5,219,321,9735,72,11004,3,2,0,2.48,9408,4.66,87,0,6419,1,8,2,0,1,1,91230,120667,0,yes,0.395
7,25022,5,219,321,9735,72,115560,2,8,0,2.89,9408,3.75,45,0,6419,1,8,2,0,1,1,239532,120735,0,yes,0.395
7,25022,5,219,321,9735,72,52357,3,1,0,2.64,9408,0,131,0,6419,1,8,2,0,1,1,239532,120647,0,yes,0.364
7,25022,5,219,321,9735,72,119482,3,1,0,2.71,9408,5.14,99,0,6419,1,8,2,0,1,1,239532,120738,0,yes,0.351
9,245578,14,100,321,9735,219,129658,4,9,0,3,136,0,245.43,1,25479,1,237,2,0,1,0,239532,163193,0,yes,0.592
9,245578,14,100,321,9735,219,95962,3,8,0,2.94,203,0,188.49,1,25479,1,237,2,0,1,0,239532,162860,0,yes,0.556
9,245578,14,100,321,9735,219,117171,3,11,0,3.47,9408,0,148.24,1,25479,1,237,2,0,1,0,239532,163893,0,yes,0.547
9,245578,14,100,321,9735,219,43044,4,9,0,1.39,104,0,193.4,0,25479,1,237,2,0,1,0,239532,163337,0,yes,0.534
9,245578,14,100,321,9735,219,60833,5,9,0,4.13,1203,0,338.7,0,25479,1,237,2,0,1,0,239532,163384,0,yes,0.526
