srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,Cluster,click_bool
64,71008,5,219,326,12836,219,63600,3,7,1,3.3,416,4.65,30,90,0,15146,1,2,2,0,1,1,305668,533139,0,cluster2,no
74,296752,5,219,326,12836,219,64949,4,9,1,4.08,721,5.54,2,139,0,11235,1,6,2,0,1,1,22627,166267,0,cluster2,yes
116,37623,14,100,326,12836,100,69327,3,7,1,2.4,2234,5.35,19,103.78,0,21087,2,1,2,0,1,1,305668,131245,0,cluster2,yes
165,164679,7,100,326,12836,219,133207,3,10,1,3.14,358,4.91,15,163.71,0,22997,2,59,2,1,1,1,230091,170666,0,cluster2,no
181,108089,31,219,326,12836,219,115976,3,9,1,0.69,312,4.92,33,105,0,27172,1,39,2,0,1,1,305668,80635,0,cluster2,no
229,313523,15,55,326,12836,99,68054,4,8,1,4.91,9541,5.78,16,270.02,0,16828,1,0,2,0,1,0,71097,685151,0,cluster2,no
229,313523,15,55,326,12836,99,68054,4,8,1,4.91,9541,5.78,16,270.02,0,16828,1,0,2,0,1,0,71097,685151,0,cluster2,no
307,135226,5,219,326,12836,219,7487,4,8,1,3.93,1267,5.64,21,459,0,8841,3,146,2,0,1,1,305668,243735,0,cluster2,yes
344,90803,5,219,326,12836,219,91169,3,7,1,0.69,148,4.93,3,116,0,23435,6,185,2,2,1,0,305668,471746,0,cluster2,yes
374,74695,5,219,326,12836,219,5607,3,9,1,5.57,9541,5.67,30,399,0,24700,1,2,2,0,1,0,305668,198020,0,cluster2,no
384,270808,5,130,199,5961,41,114018,5,9,1,5.52,9541,5.7,3,258,0,12345,3,3,1,0,1,0,305668,685151,0,cluster2,yes
386,302250,5,219,326,12836,219,12447,3,9,1,2.2,9541,5.32,1,144,1,13945,1,0,1,0,1,0,305668,685151,0,cluster2,no
413,351646,5,219,326,12836,100,63454,4,8,1,2.64,628,0,12,168,0,3410,2,11,2,1,1,1,305668,42084,0,cluster2,no
438,4747,7,100,326,12836,100,69845,3,6,1,2.3,9541,4.69,14,130.55,0,19724,1,6,2,0,1,1,305668,630472,0,cluster2,no
489,95427,18,129,326,12836,219,14242,3,8,1,1.79,9533,5.29,31,149.43,0,4562,3,101,2,1,1,0,305668,312809,0,cluster2,no
491,148912,5,219,326,12836,219,60899,3,8,1,1.95,9541,4.62,7,179,0,24367,2,146,2,3,1,1,95376,685151,0,cluster2,no
498,66658,32,220,326,12836,219,42282,3,9,1,1.39,73,4.93,36,186.09,0,25964,1,0,1,0,1,0,305668,575474,0,cluster2,no
507,226440,5,32,326,12836,4,13940,3,8,1,0.69,90,4.67,24,76,0,6678,2,19,2,0,1,1,305668,584683,0,cluster2,no
509,269900,5,219,326,12836,219,70697,3,8,1,3.04,1573,4.64,3,98,1,20874,1,52,2,0,1,0,305668,606139,0,cluster2,yes
524,235819,9,59,326,12836,219,18255,5,9,1,3.47,255,6.07,2,208.21,1,23605,3,90,2,2,1,1,305668,51019,0,cluster2,yes
529,189908,5,219,326,12836,219,124189,3,8,1,5.13,3578,5.19,1,159,0,8183,3,71,5,0,2,0,305668,122073,0,cluster2,yes
531,86116,5,219,326,12836,219,36822,3,8,1,2.3,9541,5.13,31,109,0,8682,2,5,3,0,1,1,305668,184728,0,cluster2,no
536,162085,15,55,326,12836,219,27436,3,9,1,0.69,2280,5.05,3,134.95,0,7203,2,4,2,0,1,0,131050,685151,0,cluster2,yes
556,202671,5,219,326,12836,219,79537,4,8,1,3.74,385,5.26,6,199,0,26067,1,26,3,0,1,1,305668,67719,0,cluster2,yes
566,34279,5,219,326,12836,219,61060,3,8,1,1.79,4416,4.94,2,89,0,24620,1,30,4,2,2,1,303517,189276,0,cluster2,yes
