,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
42082,1,1.173509286,33,3,0.430443367,5570.0,13,5,0,2,2.0
47463,0,0.040118185,67,0,0.007237406,10500.0,17,0,0,0,0.0
6412,0,0.228882283,68,0,0.137877614,3872.0,6,0,0,0,0.0
142967,0,0.558521287,50,0,0.211545973,12800.0,21,0,1,0,1.0
51191,0,0.0,65,0,0.007198081,3750.0,4,0,0,0,0.0
101607,0,0.00028301,55,0,0.0,1468.0,6,0,0,0,3.0
78080,0,0.109020443,44,0,0.229872293,1800.0,5,0,0,0,0.0
71133,0,0.0,34,0,2.588555858,1100.0,6,0,1,0,1.0
92953,1,0.003454336,57,1,1954.0,,6,0,2,1,2.0
57691,0,0.168785839,43,0,0.488111206,8200.0,11,0,2,0,0.0
14734,0,0.199964574,46,1,0.384682449,14910.0,13,0,1,0,0.0
101685,0,0.331161611,45,1,0.351471405,1800.0,8,0,0,0,0.0
46801,0,0.0,60,0,0.0,4792.0,2,0,0,0,1.0
88538,0,0.470337288,30,0,0.142555438,2840.0,4,0,0,0,1.0
12670,0,0.229561588,76,0,0.390001628,6140.0,10,0,1,0,0.0
114441,0,0.385792468,74,0,0.312982881,6600.0,14,0,1,0,0.0
114188,0,0.000363623,44,0,1313.0,,10,0,1,0,0.0
76914,0,0.665942876,25,0,0.176964607,3333.0,10,0,0,0,0.0
26251,0,0.979351032,53,0,0.455673942,9666.0,8,0,2,0,0.0
58124,0,0.076191091,59,0,0.257499227,9700.0,15,0,2,0,1.0
6651,0,0.064093082,67,0,3213.0,,13,0,1,0,0.0
55682,0,0.013519933,53,0,0.168373984,12299.0,9,0,2,0,2.0
47055,0,0.110409193,38,0,0.345021828,7100.0,12,0,1,0,1.0
100960,0,0.02599675,70,0,6.0,,5,0,0,0,0.0
13631,0,1.016959419,50,2,1912.0,,3,0,2,0,0.0
124744,0,0.061129258,47,0,2343.0,,6,0,1,0,0.0
1899,0,0.049889802,44,1,2549.0,,6,0,1,0,0.0
146194,0,0.697163769,52,0,508.0,,4,0,0,0,2.0
128135,0,0.00417181,61,0,0.277761999,3520.0,17,0,0,0,0.0
140286,0,0.043766847,72,0,0.342705405,3200.0,6,0,1,0,0.0
71503,0,0.853367988,42,1,0.348691485,2712.0,17,0,0,0,0.0
81668,0,0.0,34,0,0.070236927,7132.0,3,0,0,0,0.0
