"id","Instance_number","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents","Cluster","SeriousDlqin2yrs"
99922,99921,0.020165,89,0,564,"?",5,0,1,0,"0","cluster1","n"
99923,99922,0.113412,76,0,0.485559,"2942",13,0,1,0,"0","cluster1","n"
99933,99932,0.023887,80,0,0.011999,"3666",4,0,0,0,"0","cluster1","n"
99940,99939,0.056983,71,0,0.181891,"6250",10,0,1,1,"0","cluster1","n"
99951,99950,1,80,0,0,"?",4,0,0,0,"?","cluster1","n"
99958,99957,0.002461,65,0,0.252077,"7100",19,0,1,0,"0","cluster1","n"
99959,99958,0.010991,68,0,0.00335,"20000",25,0,0,0,"0","cluster1","n"
99966,99965,0.319124,77,0,0.201013,"8093",8,0,2,0,"0","cluster1","n"
99970,99969,0.151325,64,0,6040,"?",16,0,2,0,"0","cluster1","n"
99971,99970,0.008457,81,0,0.305631,"6605",15,0,2,0,"0","cluster1","n"
99973,99972,0.044924,65,0,1.054518,"3319",8,0,2,0,"0","cluster1","n"
99977,99976,0.004008,64,0,0.222167,"5999",19,0,1,0,"0","cluster1","n"
99978,99977,0.33527,68,0,0.614823,"6300",11,0,3,0,"1","cluster1","n"
99983,99982,0.229684,64,0,0.50983,"3000",13,0,1,0,"0","cluster1","n"
99987,99986,0,64,0,200,"?",3,0,1,0,"?","cluster1","n"
99989,99988,0.854779,58,3,0.609572,"6100",15,0,1,0,"1","cluster1","y"
99990,99989,0.121939,58,4,0.018293,"17000",8,0,0,0,"0","cluster1","n"
99992,99991,0.185304,63,0,0.31188,"9166",12,0,1,0,"1","cluster1","n"
99993,99992,0.001953,59,0,0.001143,"10500",13,0,0,0,"0","cluster1","n"
99994,99993,0.050145,58,0,0.287759,"9500",13,0,2,0,"1","cluster1","n"
99995,99994,0.682878,55,0,0.090654,"13567",6,0,0,0,"0","cluster1","n"
100002,100001,0.043495,79,0,0.269365,"4001",7,0,1,0,"0","cluster1","n"
100004,100003,0.148142,67,0,0.21365,"7750",5,0,1,0,"0","cluster1","n"
100006,100005,0,75,0,0.144869,"7171",7,0,1,0,"0","cluster1","n"
100007,100006,0.189259,52,0,0.748626,"2000",15,0,0,0,"3","cluster1","n"
100008,100007,0.127016,62,0,0.746468,"3750",20,0,2,0,"0","cluster1","n"
100009,100008,0.483891,48,0,1.61558,"4338",13,0,3,0,"1","cluster1","y"
100010,100009,0.230381,47,0,2737,"?",9,0,3,0,"0","cluster1","n"
100011,100010,0.116173,59,0,0.364212,"3000",8,0,1,0,"0","cluster1","n"
100012,100011,0.204619,78,1,0.194376,"7325",11,0,1,0,"1","cluster1","n"
100016,100015,0.030788,57,0,0.077575,"14166",5,0,1,0,"1","cluster1","n"
100017,100016,0.600278,56,1,0.590403,"3500",6,0,0,0,"1","cluster1","n"
100019,100018,0.200068,63,0,0.129348,"2040",7,0,0,0,"1","cluster1","n"
100020,100019,0,72,0,0.276491,"3236",4,0,0,0,"0","cluster1","n"
100021,100020,0.154049,54,2,0.262734,"9187",10,0,2,0,"2","cluster1","n"
100022,100021,0.059977,59,0,1226,"?",8,0,1,0,"0","cluster1","n"
100024,100023,0.853133,52,3,1.035396,"4265",11,2,1,4,"1","cluster1","y"
100025,100024,0.750182,57,2,0.241366,"8020",10,0,1,0,"0","cluster1","n"
100026,100025,0.2537,69,0,0.045595,"2916",2,0,0,0,"0","cluster1","n"
100028,100027,0.032874,56,1,0.23997,"4012",12,0,1,0,"2","cluster1","n"
100029,100028,0.026482,42,0,0.181982,"10000",9,0,2,0,"2","cluster1","n"
100030,100029,0.028734,44,0,21,"?",4,0,0,0,"0","cluster1","n"
100031,100030,0.197129,77,0,0.122731,"3250",11,0,0,0,"0","cluster1","n"
100032,100031,0.123929,47,0,2.208396,"2000",12,0,1,0,"1","cluster1","n"
100034,100033,0.521393,39,0,0.356835,"2084",5,0,0,0,"1","cluster1","n"
100035,100034,0.040163,54,0,3827,"?",12,0,2,0,"0","cluster1","n"
100037,100036,0.270386,63,0,0.199106,"17000",12,0,2,0,"0","cluster1","n"
100038,100037,0.355654,63,0,0.417534,"4995",10,0,1,0,"1","cluster1","n"
100039,100038,0.106094,55,0,0.069411,"5416",3,0,0,1,"1","cluster1","n"
100040,100039,0.07789,39,2,0.288981,"4328",12,0,1,0,"2","cluster1","n"
100041,100040,0.48746,61,0,510,"?",4,0,1,0,"0","cluster1","n"
100042,100041,0.125848,52,0,0.202949,"4000",9,0,1,0,"1","cluster1","n"
100043,100042,0,59,0,0,"?",2,0,0,0,"0","cluster1","n"
100044,100043,1,64,0,0.075818,"4800",2,0,0,1,"0","cluster1","y"
100045,100044,0.524952,48,0,0.431579,"2184",4,0,0,0,"2","cluster1","n"
100046,100045,0.727778,38,0,2524,"?",10,0,2,0,"0","cluster1","n"
100047,100046,0.698544,65,0,0.669685,"4416",12,0,1,0,"0","cluster1","n"
100048,100047,0,56,0,0.184062,"12598",8,0,1,0,"1","cluster1","n"
100049,100048,0.617455,36,1,0.185226,"3600",6,0,0,1,"0","cluster1","n"
100050,100049,0.751997,76,0,0.312871,"12966",8,0,2,0,"0","cluster1","n"
100051,100050,1,39,0,0.16044,"4817",4,0,0,0,"2","cluster1","n"
100052,100051,0.070707,33,0,0.455636,"4000",8,0,1,0,"0","cluster1","n"
100053,100052,0.002419,50,0,0.222372,"5917",28,0,1,0,"0","cluster1","n"
100054,100053,0.012173,43,0,0.634273,"5000",11,0,3,0,"0","cluster1","n"
100055,100054,0.072377,53,0,1654,"?",9,0,2,0,"?","cluster1","y"
100056,100055,1,41,0,0.361925,"3718",4,0,1,0,"1","cluster1","n"
100058,100057,0.11545,56,0,2842,"?",21,0,2,0,"0","cluster1","n"
100059,100058,0.235486,37,0,0.403413,"7500",20,0,1,0,"1","cluster1","n"
100060,100059,0.05705,39,0,0.254714,"5833",8,0,1,0,"2","cluster1","n"
