"id","Instance_number","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents","Cluster","SeriousDlqin2yrs"
49844,49843,0.309322,63,0,0.805799,"4000",23,0,2,0,"0","cluster2","n"
49865,49864,0.007305,71,0,0.368807,"4500",19,0,0,0,"0","cluster2","n"
49872,49871,0.110502,71,0,0.379578,"9009",22,0,1,0,"1","cluster2","n"
49882,49881,0.554682,70,0,1.069498,"4920",15,0,2,0,"0","cluster2","n"
49897,49896,0.006892,69,0,0.00269,"9665",14,0,0,0,"1","cluster2","n"
49898,49897,0.13614,62,0,0.245806,"9596",17,0,1,0,"0","cluster2","n"
49899,49898,0.719619,78,0,0.851277,"3993",19,0,2,0,"0","cluster2","n"
49901,49900,0.102272,71,0,0.027521,"10500",14,0,0,0,"0","cluster2","n"
49902,49901,0.083613,55,0,0.403886,"7667",20,0,1,0,"1","cluster2","n"
49913,49912,0.010866,77,0,8e-04,"5000",5,0,0,0,"0","cluster2","n"
49914,49913,0.019442,64,0,582,"?",14,0,0,0,"0","cluster2","n"
49918,49917,0.210011,62,0,0.493034,"6100",21,0,2,0,"0","cluster2","n"
49919,49918,0.342052,74,0,0.434113,"5000",11,0,1,0,"0","cluster2","n"
49934,49933,0.333171,69,0,2.129398,"880",7,0,1,0,"0","cluster2","n"
49935,49934,0.320565,79,0,0.064039,"2029",2,0,0,0,"0","cluster2","n"
49939,49938,0.140219,67,0,1.002971,"8750",10,0,4,0,"0","cluster2","n"
49940,49939,0.232637,69,0,0.337211,"5500",11,0,2,0,"0","cluster2","n"
49942,49941,0.054478,67,0,0.337505,"10467",7,0,2,0,"1","cluster2","n"
49943,49942,0.455553,77,0,0.135494,"5800",6,0,0,0,"1","cluster2","n"
49949,49948,0.275592,68,2,0.382694,"5003",15,0,2,0,"0","cluster2","n"
49950,49949,0.829251,54,3,4849,"?",30,0,2,0,"0","cluster2","y"
49952,49951,0.798165,84,1,0.278634,"2400",11,0,0,0,"0","cluster2","n"
49957,49956,0.014767,88,0,0.004847,"3300",4,0,0,0,"0","cluster2","n"
49958,49957,0.009213,77,0,0.160178,"5162",18,0,1,0,"0","cluster2","n"
49961,49960,0.06542,62,0,608,"?",19,0,1,0,"0","cluster2","n"
49966,49965,0.125835,76,0,0.007399,"10000",10,0,0,0,"0","cluster2","n"
49967,49966,0.010679,61,0,0.0037,"10000",10,0,0,0,"0","cluster2","n"
49970,49969,0.076175,71,2,0.172833,"25000",11,0,1,0,"1","cluster2","n"
49971,49970,0.173739,67,0,1488,"?",5,0,1,0,"0","cluster2","n"
49972,49971,0.013557,57,0,0.352802,"3800",20,0,1,0,"2","cluster2","n"
49973,49972,0.260397,67,1,0.283337,"14300",20,0,0,0,"0","cluster2","y"
49974,49973,0.23195,58,1,0.764596,"11800",20,0,3,0,"1","cluster2","y"
49975,49974,0.128601,60,0,0.45472,"5200",10,0,1,0,"0","cluster2","n"
49977,49976,0.434987,46,0,0.43978,"2000",15,0,1,0,"0","cluster2","n"
49978,49977,0.247039,60,0,0.515299,"15000",22,0,2,0,"1","cluster2","n"
49980,49979,0.040052,79,0,0.004582,"4800",6,0,0,0,"0","cluster2","n"
49984,49983,0,66,0,0.321865,"900",4,0,0,0,"0","cluster2","y"
49990,49989,0.01,70,0,0.047697,"10419",8,0,0,0,"0","cluster2","n"
49991,49990,0.099995,64,0,1100,"?",6,0,2,0,"0","cluster2","n"
49992,49991,1.427146,65,3,0.210962,"2900",4,0,0,1,"0","cluster2","y"
49994,49993,0.280999,47,0,0.443196,"3916",11,0,1,0,"1","cluster2","n"
49997,49996,0.019667,55,0,0.299394,"10891",6,0,2,0,"3","cluster2","n"
49998,49997,0.000909,64,0,1.775281,"800",10,0,2,0,"0","cluster2","n"
49999,49998,0.90019,54,1,7221,"?",11,0,2,0,"0","cluster2","n"
50000,49999,0.005925,81,0,0.007143,"1819",3,0,0,0,"0","cluster2","n"
50002,50001,0.228692,72,0,2982,"?",10,0,2,0,"0","cluster2","n"
50003,50002,0.083191,66,0,0.182522,"12655",5,0,2,0,"0","cluster2","n"
50006,50005,0,74,2,1784,"?",5,0,1,0,"0","cluster2","n"
50009,50008,0.164703,43,0,0.413698,"8000",21,0,2,0,"0","cluster2","n"
50011,50010,0.052752,64,0,3534,"?",12,0,2,0,"1","cluster2","n"
50013,50012,0.117351,83,0,0.380485,"5400",13,0,2,0,"0","cluster2","n"
50014,50013,0.441917,55,0,0.901192,"5201",21,0,2,0,"1","cluster2","n"
50015,50014,0.127272,52,1,0.394961,"10000",6,0,2,0,"2","cluster2","n"
